"Gene","Module"
"KIF18B","lightgreen"
"GARNL3","grey60"
"USP37","lightgreen"
"COG4","cyan"
"ZFAT","black"
"MYL3","yellow"
"HS3ST4","pink"
"OCRL","purple"
"TMC3","red"
"FBXL6","yellow"
"PHKG1","salmon4"
"C3orf58","black"
"RING1","turquoise"
"CIAO1","darkred"
"PIPOX","magenta"
"SERPINB9","lightyellow"
"FAM104A","royalblue"
"MAMLD1","blue"
"AC012360.1","grey"
"TBC1D15","orangered4"
"JUNB","yellow"
"CRYGD","grey"
"ARX","grey"
"FTSJ1","darkgrey"
"C21orf91","midnightblue"
"WDR33","brown"
"MEIS2","cyan"
"G0S2","brown"
"TFRC","brown"
"EIF3F","black"
"TIGD7","red"
"EFCAB14","red"
"LHFPL4","tan"
"PMAIP1","darkmagenta"
"HAX1","grey60"
"PGM5","grey"
"SLC25A30","ivory"
"TRUB1","lightsteelblue1"
"INTS1","black"
"XRN1","darkred"
"FAM227A","brown"
"ALKBH7","turquoise"
"ROM1","turquoise"
"RUNDC3A","turquoise"
"CCDC66","skyblue3"
"CADM3","turquoise"
"GK","violet"
"GPR3","lightcyan"
"CNST","purple"
"FAM50B","pink"
"FAM71A","thistle2"
"MGAM","pink"
"MZF1","brown"
"MUC12","yellow"
"TMEM164","pink"
"AL358113.1","turquoise"
"PILRA","turquoise"
"PPME1","red"
"UQCR11","turquoise"
"ANXA2R","purple"
"E2F3","white"
"SIX5","greenyellow"
"COX5B","yellow"
"PDK3","green"
"SNRPD3","brown"
"TUSC5","thistle2"
"GDPD3","blue"
"RAB4B","blue"
"C9orf117","turquoise"
"HPCAL1","magenta"
"SLC35A5","brown"
"WDR77","darkgreen"
"KRCC1","pink"
"NAALADL2","black"
"LTBP3","lightsteelblue1"
"PTPRQ","royalblue"
"SLC4A1AP","turquoise"
"NOP2","salmon"
"EED","lightgreen"
"NUPL2","cyan"
"TMEM145","midnightblue"
"MAGEA10","magenta"
"CACNA1S","grey"
"GUCA1A","yellow"
"KRBA2","green"
"SPINK8","grey"
"ZBTB4","salmon"
"FXYD7","greenyellow"
"HHLA2","yellow"
"HNF1B","darkgrey"
"SHFM1","lightsteelblue1"
"CRYAB","turquoise"
"ZDHHC17","darkred"
"ADAD2","grey"
"WDR19","darkgrey"
